t+5,t+6,t+7,t+8
6.0,0.0,10.0,6.0
0.0,10.0,6.0,7.5
10.0,6.0,7.5,105.0
6.0,7.5,105.0,0.0
7.5,105.0,0.0,0.0
105.0,0.0,0.0,69.0
0.0,0.0,69.0,0.0
0.0,69.0,0.0,14.5
69.0,0.0,14.5,12.8
0.0,14.5,12.8,65.0
14.5,12.8,65.0,4.0
12.8,65.0,4.0,4.5
65.0,4.0,4.5,7.0
4.0,4.5,7.0,1.5
4.5,7.0,1.5,0.0
7.0,1.5,0.0,30.0
1.5,0.0,30.0,40.2
0.0,30.0,40.2,10.0
30.0,40.2,10.0,0.0
40.2,10.0,0.0,55.0
10.0,0.0,55.0,10.0
0.0,55.0,10.0,0.0
55.0,10.0,0.0,26.0
10.0,0.0,26.0,0.0
0.0,26.0,0.0,0.0
26.0,0.0,0.0,123.0
0.0,0.0,123.0,25.0
0.0,123.0,25.0,0.0
123.0,25.0,0.0,0.0
25.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,299.5
0.0,0.0,299.5,145.0
0.0,299.5,145.0,15.0
299.5,145.0,15.0,0.0
145.0,15.0,0.0,0.0
15.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,119.0
0.0,0.0,119.0,20.0
0.0,119.0,20.0,0.0
119.0,20.0,0.0,159.0
20.0,0.0,159.0,62.0
0.0,159.0,62.0,242.8
159.0,62.0,242.8,0.0
62.0,242.8,0.0,0.0
242.8,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,52.5
0.0,0.0,52.5,0.0
0.0,52.5,0.0,36.0
52.5,0.0,36.0,123.0
0.0,36.0,123.0,13.0
36.0,123.0,13.0,0.0
123.0,13.0,0.0,0.0
13.0,0.0,0.0,382.8
